Transaction_ID,Order_Date,Customer_ID,Customer_Segment,Region,Country,Product_Category,Product_SubCategory,Product_Name,Cost_Price,Selling_Price,Quantity,Discount
TXN-291E49F7,2023-12-26,CUST-1251,Home Office,Europe,Italy,Office Supplies,Art,Art Model 247,28.13,37.83,3,0.0
TXN-EE66A138,2023-12-26,CUST-2287,Consumer,Asia Pacific,China,Furniture,Furnishings,Furnishings Model 406,339.01,465.25,8,0.2
TXN-820E54D8,2023-12-06,CUST-4247,Home Office,Europe,Germany,Clothing,Shoes,Shoes Model 871,58.62,81.32,8,0.2
TXN-6AAD21CC,2022-03-22,CUST-2718,Consumer,North America,Canada,Electronics,Laptops,Laptops Model 781,349.12,$427.87,6,0.0
TXN-A9561AFD,2022-08-29,CUST-2435,Consumer,Europe,Spain,Electronics,Smartphones,Smartphones Model 605,36.11,42.93,10,0.0
TXN-16331934,2023-07-12,CUST-2478,Consumer,North America,Canada,Clothing,Men,Men Model 304,119.07,163.67,2,0.0
TXN-88AFE7F5,2023-03-04,CUST-2101,Consumer,Europe,Germany,Office Supplies,Envelopes,Envelopes Model 550,236.73,337.76,7,0.0
TXN-9571A4F8,2022-08-10,CUST-3681,Corporate,Europe,France,Furniture,Furnishings,Furnishings Model 341,204.5,291.94,6,0.1
TXN-9571A4F8,2023-03-19,CUST-2759,Consumer,Asia Pacific,India,Furniture,Furnishings,Furnishings Model 234,270.66,357.6,8,0.0
TXN-886C90DF,2022-12-27,CUST-2082,Consumer,Asia Pacific,China,Furniture,Furnishings,Furnishings Model 125,321.16,441.58,1,0.2
TXN-E1557D67,2022-12-02,CUST-4048,Consumer,Europe,France,Clothing,Men,Men Model 914,261.87,369.53,10,0.0
TXN-1BFEE711,2023-11-06,CUST-2891,Consumer,Latin America,Chile,Electronics,Accessories,Accessories Model 525,182.98,266.59,2,0.05
TXN-A71A4F75,2022-01-08,CUST-3374,Consumer,Latin America,Chile,Office Supplies,Binders,Binders Model 149,377.77,566.63,10,0.15
TXN-758AB125,2023-08-08,CUST-4169,Consumer,Europe,France,Office Supplies,Paper,Paper Model 581,152.47,227.79,5,0.0
TXN-5A4D3B91,2023-02-16,CUST-2243,Corporate,Asia Pacific,Japan,Furniture,Bookcases,Bookcases Model 719,20.55,25.52,6,0.2
TXN-C64781D3,2023-10-17,CUST-3663,Home Office,Europe,Italy,Office Supplies,Envelopes,Envelopes Model 541,190.73,220.53,8,0.05
TXN-0E728C4F,2023-12-11,CUST-1671,Home Office,Asia Pacific,India,Furniture,Furnishings,Furnishings Model 492,121.05,149.5,7,0.0
TXN-7856C41B,2023-08-05,CUST-3060,Corporate,North America,Canada,Clothing,Kids,Kids Model 707,337.09,481.38,7,0.15
TXN-7856C41B,2022-08-28,CUST-4751,Corporate,Asia Pacific,China,Office Supplies,Binders,Binders Model 994,396.46,465.99,3,0.0
TXN-447954D4,2023-10-05,CUST-2341,Consumer,North America,Mexico,Furniture,Chairs,Chairs Model 130,22.99,34.39,6,0.15
TXN-55DC9C4A,2022-11-25,CUST-2457,Consumer,Latin America,Chile,Furniture,Tables,Tables Model 570,393.06,516.43,3,0.0
TXN-16E51283,2023-09-06,CUST-2289,Consumer,Latin America,Argentina,Clothing,Kids,Kids Model 547,136.85,163.57,2,0.15
TXN-2392C317,2023-08-23,CUST-1486,Consumer,Asia Pacific,Australia,Electronics,Accessories,Accessories Model 860,295.83,373.12,9,0.0
TXN-5B0F2002,2022-12-01,CUST-2893,Home Office,Latin America,Brazil,Clothing,Kids,Kids Model 604,139.02,200.5,1,0.0
TXN-643377FA,2023-10-08,CUST-2951,Corporate,Europe,UK,Electronics,Smartphones,Smartphones Model 706,454.53,528.16,1,0.0
TXN-6F788A0B,2022-05-29,CUST-1476,Home Office,Europe,France,Furniture,Chairs,Chairs Model 734,288.06,354.32,6,0.0
TXN-D533A441,2023-07-21,CUST-3902,Consumer,Latin America,Argentina,Clothing,Kids,Kids Model 897,293.05,388.74,1,0.15
TXN-C7C7F6BE,2023-03-20,CUST-4418,Consumer,Europe,UK,Clothing,Women,Women Model 704,483.28,692.06,2,0.15
TXN-90C0E215,2023-09-30,CUST-1380,Consumer,Latin America,Brazil,Furniture,Bookcases,Bookcases Model 857,276.26,347.98,1,0.15
TXN-1A672B3C,2023-07-05,CUST-1215,Corporate,Asia Pacific,India,Furniture,Furnishings,Furnishings Model 978,419.5,612.74,6,0.0
TXN-44DD0B09,2023-11-05,CUST-1793,Consumer,North America,Canada,Furniture,Tables,Tables Model 343,190.75,232.8,3,0.0
TXN-5498751A,2023-05-28,CUST-4810,Corporate,North America,Mexico,Clothing,Women,Women Model 830,86.3,115.47,8,0.0
TXN-BF3A28E7,2023-02-24,CUST-1888,Consumer,Europe,France,Furniture,Tables,Tables Model 818,214.5,273.34,6,0.2
TXN-EDC52EC6,2022-01-11,CUST-1291,Corporate,North America,Mexico,Electronics,Tablets,Tablets Model 674,395.07,584.06,1,0.0
TXN-9778D9B8,2023-11-22,CUST-3233,Corporate,Asia Pacific,India,Electronics,Accessories,Accessories Model 303,41.94,54.2,8,0.0
TXN-4624A9CD,2022-02-22,CUST-4190,Corporate,Asia Pacific,Japan,Office Supplies,Art,Art Model 713,375.04,449.55,4,0.1
TXN-C65B4B45,2023-03-25,CUST-2660,Consumer,Asia Pacific,Australia,Clothing,Women,Women Model 449,493.72,690.79,3,0.0
TXN-69EDB01A,2022-08-09,CUST-1247,Corporate,Europe,France,Electronics,Tablets,Tablets Model 450,391.22,432.48,7,0.05
TXN-FFCD008C,2023-12-18,CUST-4883,Consumer,Latin America,Argentina,Electronics,Smartphones,Smartphones Model 502,162.07,199.02,9,0.0
TXN-676C4C08,2022-05-19,CUST-1812,Home Office,Europe,Italy,Furniture,Furnishings,Furnishings Model 317,218.21,277.01,10,0.15
TXN-AFDF38C0,2022-11-25,CUST-4705,Consumer,North America,Canada,Furniture,Bookcases,Bookcases Model 997,200.99,271.36,3,0.0
TXN-96F1E9E4,2022-01-31,CUST-3493,Consumer,Latin America,Brazil,Office Supplies,Binders,Binders Model 916,396.38,485.08,3,0.2
TXN-20521B64,2022-01-01,CUST-2583,Home Office,North America,Canada,Clothing,Women,Women Model 575,397.12,501.34,5,0.0
TXN-BC4EC20F,2022-07-29,CUST-3245,Home Office,Asia Pacific,Australia,Furniture,Chairs,Chairs Model 683,211.68,253.42,9,0.0
TXN-08C848C7,2022-02-13,CUST-2071,Consumer,Asia Pacific,China,Office Supplies,Binders,Binders Model 139,411.2,569.27,10,0.05
TXN-248A272C,2023-02-13,CUST-3304,Home Office,Asia Pacific,Japan,Furniture,Chairs,Chairs Model 674,185.84,205.69,3,0.1
TXN-12D4E667,2022-01-06,CUST-1288,Corporate,Europe,UK,Electronics,Tablets,Tablets Model 593,75.08,103.41,8,0.0
TXN-1B06909C,2022-08-03,CUST-4195,Consumer,Latin America,Chile,Clothing,Women,Women Model 164,160.32,191.5,8,0.2
TXN-D527D891,2022-02-05,CUST-1530,Consumer,Asia Pacific,Japan,Office Supplies,Binders,Binders Model 916,76.21,107.47,9,0.0
TXN-3BCBCB0F,2023-08-06,CUST-2290,Consumer,Asia Pacific,India,Clothing,Men,Men Model 751,344.65,424.64,4,0.05
TXN-16E722B6,2023-11-14,CUST-4163,Home Office,Asia Pacific,China,Furniture,Tables,Tables Model 540,261.77,392.22,10,0.15
TXN-60871951,2022-11-17,CUST-4415,Corporate,Europe,Germany,Furniture,Chairs,Chairs Model 827,494.66,600.76,4,0.2
TXN-9A790A73,2023-04-01,CUST-3488,Corporate,Latin America,Brazil,Electronics,Laptops,Laptops Model 712,162.69,241.91,10,0.0
TXN-B2D55957,2023-11-03,CUST-2617,Corporate,Asia Pacific,Japan,Office Supplies,Paper,Paper Model 932,405.32,516.79,1,0.2
TXN-F3309978,2022-02-14,CUST-2322,Corporate,Asia Pacific,India,Electronics,Accessories,Accessories Model 694,35.79,47.64,3,0.1
TXN-3C03759A,2023-07-07,CUST-4569,Consumer,Europe,France,Electronics,Accessories,Accessories Model 790,283.25,416.68,10,0.0
TXN-00BB1014,2023-02-07,CUST-1006,Consumer,North America,USA,Furniture,Chairs,Chairs Model 383,,607.41,9,0.0
TXN-EA595B97,2023-09-12,CUST-3133,Consumer,North America,Canada,Electronics,Laptops,Laptops Model 594,,440.58,8,0.0
TXN-1D500D03,2022-12-22,CUST-4965,Home Office,Asia Pacific,China,Clothing,Women,Women Model 783,49.35,61.76,1,0.0
TXN-6B25A1F8,2023-01-10,CUST-3198,Consumer,Europe,Spain,Furniture,Bookcases,Bookcases Model 501,424.18,593.55,9,0.0
TXN-04038D39,2022-11-04,CUST-2692,Home Office,Asia Pacific,Australia,Furniture,Tables,Tables Model 478,410.98,488.53,4,0.0
TXN-049EF2DE,2023-03-14,CUST-4902,Consumer,Latin America,Argentina,Furniture,Tables,Tables Model 819,386.9,555.05,7,0.1
TXN-D3DCB4B8,2023-02-01,CUST-1534,Consumer,Europe,Spain,Electronics,Tablets,Tablets Model 681,495.37,565.07,9,0.0
TXN-AFF221D6,2022-10-27,CUST-3131,Corporate,North America,Canada,Office Supplies,Envelopes,Envelopes Model 253,193.88,240.04,1,0.2
TXN-0DF5C28F,2023-12-02,CUST-2291,Home Office,North America,USA,Office Supplies,Envelopes,Envelopes Model 358,121.34,173.79,1,0.05
TXN-86BBEDB2,2023-07-25,CUST-1035,Corporate,North America,Mexico,Furniture,Tables,Tables Model 863,104.99,115.63,10,0.05
TXN-C6C96350,2022-11-13,CUST-3147,Consumer,Asia Pacific,India,Electronics,Accessories,Accessories Model 447,90.62,126.77,5,0.05
TXN-5E3CB35A,2022-05-04,CUST-3675,Consumer,Europe,UK,Furniture,Tables,Tables Model 122,91.45,123.05,8,0.2
TXN-6DC05A04,2023-02-02,CUST-2701,Consumer,Latin America,Argentina,Furniture,Tables,Tables Model 341,364.1,452.26,3,0.0
TXN-6BD3BE53,2022-04-15,CUST-3808,Consumer,Europe,UK,Office Supplies,Envelopes,Envelopes Model 977,435.25,496.36,8,0.1
TXN-02DD8286,2023-03-04,CUST-4783,Consumer,North America,USA,Office Supplies,Art,Art Model 632,276.44,364.35,6,0.15
TXN-BD642ABB,2023-12-27,CUST-3583,Home Office,Europe,Italy,Clothing,Kids,Kids Model 392,386.52,575.08,1,0.0
TXN-D02277ED,2023-08-10,CUST-1643,Consumer,Europe,France,Clothing,Kids,Kids Model 506,443.27,565.78,3,0.2
TXN-DB518AC4,2023-12-19,CUST-1671,Home Office,Asia Pacific,Australia,Furniture,Furnishings,Furnishings Model 568,237.96,336.73,3,0.0
TXN-0EA01673,2023-10-15,CUST-1039,Consumer,North America,Mexico,Furniture,Tables,Tables Model 766,206.62,261.12,8,0.1
TXN-3CFCAD01,2022-09-10,CUST-2003,Corporate,Europe,Spain,Office Supplies,Envelopes,Envelopes Model 220,93.71,110.01,3,0.0
TXN-B6F85800,2023-02-15,CUST-4611,Corporate,Latin America,Chile,Clothing,Kids,Kids Model 810,219.21,$304.83,3,0.2
TXN-42CD4231,2022-11-18,CUST-1374,Consumer,North America,Mexico,Office Supplies,Envelopes,Envelopes Model 565,264.51,395.51,5,0.0
TXN-03AEA556,2022-01-03,CUST-4636,Corporate,North America,Mexico,Furniture,Tables,Tables Model 298,372.79,518.55,10,0.2
TXN-38C3A5BA,2022-11-17,CUST-1068,Consumer,Europe,France,Furniture,Chairs,Chairs Model 359,223.13,247.57,9,0.1
TXN-60AB9557,2023-12-24,CUST-1045,Consumer,Latin America,Chile,Clothing,Women,Women Model 147,436.21,538.92,6,0.15
